artist,location,similar,song,title
Casual,California - LA,ARV4KO21187FB38008,SOMZWCG12A8C13C480,I Didn't Mean To
The Box Tops,"Memphis, TN",ARSZWK21187B9B26D7,SOCIWDW12A8C13D406,Soul Deep
Sonora Santanera,Not available,ARFSJUG11C8A421AAD,SOXVLOJ12AB0189215,Amor De Cabaret
Adam Ant,"London, England",AR4R0741187FB39AF2,SONHOTT12A8C13493C,Something Girls
Gob,Not available,ARUA62A1187B99D9B0,SOFSOCN12A8C143F5D,Face the Ashes
Jeff And Sheri Easter,Not available,ARHNMEZ11F50C4706C,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version)
Rated R,Ohio,ARF93II1187B99F981,SOMJBYD12A6D4F8557,Keepin It Real (Skit)
Tweeterfriendly Music,"Burlington, Ontario, Canada",ARJXL4Z1187B9A5920,SOHKNRJ12A6701D1F8,Drop of Rain
Planet P Project,Not available,ARWVP631187FB4D016,SOIAZJW12AB01853F1,Pink World
Clp,Not available,ARAR1XA11C8A415BE5,SOUDSGM12AC9618304,Insatiable (Instrumental Version)
JennyAnyKind,North Carolina,AR9AM2N1187B9AD2F1,SOQHXMF12AB0182363,Young Boy Blues
Wayne Watson,"Wisner, LA",ARKNAD81187B98F8C9,SOKEJEJ12A8C13E0D0,The Urgency (LP Version)
Andy Andy,Not available,ARATQJ61187B9B97E3,SOMUYGI12AB0188633,La Culpa
Bob Azzam,Not available,AR3QRJ91187B98E4C2,SORAMLE12AB017C8B0,Auguri Cha Cha
Lionel Richie,"Beverly Hills, CA",ARVP1TO1187B9A4A7A,SOBONFF12A6D4F84D8,Tonight Will Be Alright
Blue Rodeo,"Toronto, Ontario, Canada",ARGCEMX1187B9921A4,SOHUOAP12A8AE488E9,Floating
Richard Souther,United States,AR6UR8S1187B9B928F,SOUQQEA12A8C134B1B,High Tide
Faiz Ali Faiz,Not available,ARACE911187B999DB5,SOILPQQ12AB017E82A,Sohna Nee Sohna Data
Tesla,Not available,ARO353H1187B9A43E9,SOXLBJT12A8C140925,Caught In A Dream
lextrical,Not available,ARDKYXY11E2835EB51,SOZVMJI12AB01808AF,Synthetic Dream
Jimmy Wakely,"Mineola, AR",ARFYPFB1187FB3D65C,SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round
Alice Stuart,Washington,AR0MN9F1187B9A9F71,SOBEBDG12A58A76D60,Kassie Jones
Elena,Dubai UAE,ARDFZRH1269FCD3ADD,SOZCTXZ12AB0182364,Setanta matins
The Dillinger Escape Plan,"Morris Plains, NJ",ARNUJQM1187FB3EE72,SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants
SUE THOMPSON,"Nevada, MO",ARD92TH1187FB57ACD,SOBLGCN12AB0183212,James (Hold The Ladder Steady)
Five Bolt Main,Not available,ARXXRJJ1187B9B4DCF,SOPSWQW12A6D4F8781,Made Like This (Live)
Clp,Not available,ARAR1XA11C8A415BE5,SOZQDIU12A58A7BCF6,Superconfidential
Tim Wilson,Georgia,AR74HI61187FB5327F,SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell)
Willie Bobo,"New York, NY [Spanish Harlem]",AR1N6N61187FB4E25E,SOBZBAZ12A6D4F8742,Spanish Grease
Faye Adams,"Newark, NJ",ARRB15P1187FB3B0DF,SOVYKGO12AB0187199,Crazy Mixed Up World
Terry Callier,Chicago,ARTB5PP1187FB523B7,SOGNCJP12A58A80271,Do You Finally Need A Friend
John Wesley,Brandon,ARRJTPR11F4C8473CF,SOLLHMX12AB01846DC,The Emperor Falls
The Shangri-Las,"Queens, NY",ARXY7M01187B9B7611,SOYTPEP12AB0180E7B,Twist and Shout
Billie Jo Spears,"Beaumont, TX",AR7HM181187FB3CFC1,SOGXHEG12AB018653E,It Makes No Difference Now
Mike Jones (Featuring CJ_ Mello & Lil' Bran),"Houston, TX",ARNJJXJ11F50C4EA81,SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version)
Sierra Maestra,Not available,AR2HU081187FB5B263,SOGOSOV12AF72A285E,A?DA3nde va Chichi?
Butthole Surfers,"San Antonio, TX",ARCDZ0K1187FB43757,SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")"
Despina Vandi,Not available,ARQLM691187FB4CFA7,SOVXMTN12A8C135A18,OUTE ENA EFHARISTO
Javier Navarrete,Not available,ARU52PB1187FB58E46,SORSECL12AB0182267,Midnight Swim
